GraphName,Version,Threads,Phases,TotalIterations,Clusters,Modularity,ClusteringTIme,CoarseningTime,TotalTime,Threshold,DataType,Phases
cage15,Vectorized,24,6,126,6,0.226335,6.0741,3.0504,9.1245,1e-06,4,6
uk2002,Vectorized,24,9,201,2817,0.718951,26.9952,3.23508,30.2303,1e-06,4,9
333SP,Vectorized,24,13,279,115,0.982442,2.24636,1.40225,3.64862,1e-06,4,13
AS365,Vectorized,24,9,201,173,0.981607,2.24224,1.31223,3.55447,1e-06,4,9
eu-2005,Vectorized,24,6,126,64,0.402712,3.44527,0.3522,3.79747,1e-06,4,6
in-2004,Vectorized,24,14,326,478,0.896632,1.2473,0.284338,1.53163,1e-06,4,14
M6,Vectorized,24,9,178,158,0.980478,2.02462,1.19814,3.22276,1e-06,4,9
NLR,Vectorized,24,9,201,163,0.981544,2.51518,1.40994,3.92512,1e-06,4,9
road_usa,Vectorized,24,11,251,1420,0.997926,12.7309,13.6332,26.3641,1e-06,4,11
af_shell10,Vectorized,24,16,376,29,0.911434,1.54199,0.805626,2.34761,1e-06,4,16
cnr-2000,Vectorized,24,23,551,79,0.877807,0.660896,0.0750935,0.73599,1e-06,4,23
G_n_pin_pout,Vectorized,24,6,126,2,0.0468661,0.177716,0.150667,0.328382,1e-06,4,6
NACA0015,Vectorized,24,8,176,106,0.972243,0.492353,0.338684,0.831037,1e-06,4,8
road_central,Vectorized,24,11,251,1029,0.997185,7.95094,8.40294,16.3539,1e-06,4,11
smallworld,Vectorized,24,6,126,2,0.593699,0.0474443,0.0397556,0.0871999,1e-06,4,6
Amazon0505,Vectorized,24,14,326,14,0.393461,0.670965,0.196622,0.867588,1e-06,4,14
as-skitter,Vectorized,24,11,251,906,0.257782,10.8148,0.490033,11.3048,1e-06,4,11
ca-HepPh,Vectorized,24,5,101,285,0.274935,0.0260804,0.015161,0.0412414,1e-06,4,5
ca-HepTh,Vectorized,24,5,101,447,0.415627,0.0105894,0.00525594,0.0158453,1e-06,4,5
cit-Patents,Vectorized,24,7,151,3629,0.277751,11.0643,2.43679,13.5011,1e-06,4,7
com-lj,Vectorized,24,44,1076,1692,0.304449,50.084,2.04267,52.1266,1e-06,4,44
com-youtube,Vectorized,24,18,426,3599,0.228059,12.9081,0.36947,13.2776,1e-06,4,18
roadNet-CA,Vectorized,24,9,201,2973,0.991609,1.30647,1.10219,2.40867,1e-06,4,9
web-Google,Vectorized,24,8,176,2910,0.673925,1.46818,0.240589,1.70877,1e-06,4,8
com-orkut,Vectorized,24,5,101,7,0.138316,17.5916,4.84694,22.4385,1e-06,4,5
soc-LiveJournal1,Vectorized,24,12,276,3791,0.231015,62.2308,3.88862,66.1195,1e-06,4,12
wiki-Talk,Vectorized,24,6,126,2619,0.438063,18.3827,0.746313,19.1291,1e-06,4,6
web-Stanford,Vectorized,24,11,251,520,0.621062,3.28867,0.118711,3.40738,1e-06,4,11
